,cos_sim_spearman
STS12,56.887725429259916
STS13,69.95080392154726
STS14,65.08178343004715
STS15,73.90996013559158
STS16,65.70754784466673
SICK-R,62.18319379221449
STS-B,58.83711872618834
JSTS,
AVG,64.65116189707364
