,cos_sim_spearman
STS12,56.156699594030115
STS13,70.33292098489297
STS14,67.20003045860062
STS15,76.60298979195612
STS16,70.99220635903475
SICK-R,62.522396782479504
STS-B,66.50434735539052
JSTS,
AVG,67.18737018948352
