,cos_sim_spearman
STS12,55.532819862720984
STS13,69.32404158335645
STS14,63.13182385384392
STS15,72.25162752571973
STS16,60.977500795889796
SICK-R,62.01617446948047
STS-B,56.97982561729297
JSTS,
AVG,62.8876876726149
