Transformation,STS12,STS13,STS14,STS15,STS16,SICK-R,STS-B,JSTS,AVG
normal/mean,58.57,68.64,63.65,71.73,61.79,61.77,56.98,-,63.302492914135485
uniform_whitening/centering_only,58.17,67.34,62.19,70.15,59.6,61.39,55.85,-,62.09789688350004
uniform_whitening/whitening,56.53,66.95,62.77,72.42,61.05,62.74,56.03,-,62.64237283153927
zipfian_whitening/centering_only,56.89,69.95,65.08,73.91,65.71,62.18,58.84,-,64.65116189707364
zipfian_whitening/whitening,56.16,70.33,67.2,76.6,70.99,62.52,66.5,-,67.18737018948352
abtp/component_removal,55.53,69.32,63.13,72.25,60.98,62.02,56.98,-,62.8876876726149
sif/sif_w_component_removal,60.05,73.26,66.87,74.32,67.64,59.22,63.04,-,66.34333735708351
