,cos_sim_spearman
STS12,60.05423162549961
STS13,73.26139177231109
STS14,66.86708779155379
STS15,74.31678519820902
STS16,67.63752147795485
SICK-R,59.223714536457095
STS-B,63.042629097599075
JSTS,
AVG,66.34333735708351
