,cos_sim_spearman
STS12,55.55581792371882
STS13,63.51191300618786
STS14,57.72902493489093
STS15,70.68112120632523
STS16,62.40464755876276
SICK-R,57.93106884225432
STS-B,54.648412897597765
JSTS,
AVG,60.35171519567682
