,cos_sim_spearman
STS12,60.597588725113994
STS13,69.50753781791799
STS14,61.088975619723854
STS15,73.91750876706934
STS16,64.4851434816862
SICK-R,61.14480750567953
STS-B,57.41997956209078
JSTS,
AVG,64.02307735418309
