,cos_sim_spearman
STS12,59.13155128306642
STS13,70.99837417493747
STS14,63.304373916606934
STS15,74.80412091343129
STS16,65.96143281203608
SICK-R,61.69161688264604
STS-B,58.22676629830952
JSTS,
AVG,64.8740337544334
