,cos_sim_spearman
STS12,58.22962628449737
STS13,69.35884150136584
STS14,62.89169760586613
STS15,73.09134953943772
STS16,64.2506560839901
SICK-R,60.21789708121668
STS-B,60.26732717227489
JSTS,
AVG,64.04391360980695
