,cos_sim_spearman
STS12,55.024483763593615
STS13,71.46558129904706
STS14,65.81040366055637
STS15,74.36111689805963
STS16,69.52094344706421
SICK-R,62.9234030111546
STS-B,61.01731223635378
JSTS,
AVG,65.73189204511847
