,cos_sim_spearman
STS12,56.33081506047508
STS13,70.42428669619991
STS14,64.70657916355243
STS15,74.73976463568764
STS16,65.19401093772223
SICK-R,62.546312357292145
STS-B,58.20974741700511
JSTS,
AVG,64.59307375256208
