,cos_sim_spearman
STS12,57.87785212846161
STS13,70.33543557381789
STS14,64.23516187220523
STS15,74.7139637424981
STS16,65.56541619568488
SICK-R,62.467441054761366
STS-B,58.094113425265235
JSTS,
AVG,64.75562628467061
