,cos_sim_spearman
STS12,59.00409964405061
STS13,68.9165845776619
STS14,63.99375273059168
STS15,72.51075751984862
STS16,62.24677794462436
SICK-R,61.874149538597166
STS-B,57.14599343195034
JSTS,
AVG,63.67030219818924
