,cos_sim_spearman
STS12,58.4523553100284
STS13,69.41743665491981
STS14,65.45623275488572
STS15,76.42876871220524
STS16,67.7780505068742
SICK-R,62.872855533320504
STS-B,60.84539632930949
JSTS,
AVG,65.89301368593476
