,cos_sim_spearman
STS12,50.689362989356255
STS13,70.65679519949695
STS14,61.58587567592235
STS15,70.19310362479767
STS16,68.24633028662159
SICK-R,60.03194542349387
STS-B,56.63623462679228
JSTS,
AVG,62.57709254664014
