,cos_sim_spearman
STS12,56.3232749551205
STS13,61.17061002922446
STS14,52.68489464959853
STS15,64.80404697104224
STS16,55.79568764804449
SICK-R,57.97550489260708
STS-B,47.936324253486966
JSTS,
AVG,56.67004905701776
