,cos_sim_spearman
STS12,57.705332822144875
STS13,50.28511956554005
STS14,50.61112020380057
STS15,58.37755882245212
STS16,48.76340726379314
SICK-R,56.76382608507217
STS-B,46.21717567047255
JSTS,
AVG,52.67479149046793
