,cos_sim_spearman
STS12,52.93331900541053
STS13,66.9255766514309
STS14,60.10245155699615
STS15,71.93091767675055
STS16,63.11524997727926
SICK-R,58.225715430663406
STS-B,53.72080873960235
JSTS,
AVG,60.993434148304736
