,cos_sim_spearman
STS12,61.62600431021335
STS13,78.36078840504157
STS14,69.48374993864594
STS15,76.83365142581306
STS16,74.07748845921874
SICK-R,60.11195828491762
STS-B,71.6017253217074
JSTS,
AVG,70.29933802079395
