,cos_sim_spearman
STS12,49.209453063113926
STS13,43.12657838987924
STS14,49.885953434364204
STS15,62.03067537759709
STS16,49.69801445727846
SICK-R,54.56366362493091
STS-B,46.91122884827374
JSTS,
AVG,50.775081027919654
