Transformation,STS12,STS13,STS14,STS15,STS16,SICK-R,STS-B,JSTS,AVG
normal/mean,49.1,47.34,51.94,61.99,51.54,53.6,50.43,-,52.277305811527675
uniform_whitening/centering_only,49.21,43.13,49.89,62.03,49.7,54.56,46.91,-,50.775081027919654
uniform_whitening/whitening,45.12,41.0,47.3,62.08,48.85,54.8,43.55,-,48.957147235873045
zipfian_whitening/centering_only,48.68,55.03,54.07,60.23,58.41,54.64,50.38,-,54.49191739692624
zipfian_whitening/whitening,61.22,60.68,63.18,73.59,69.87,59.82,68.2,-,65.22374896937612
abtp/component_removal,49.64,41.79,48.81,60.84,47.57,55.09,44.23,-,49.71261550953624
sif/sif_w_component_removal,57.28,54.5,60.77,68.82,61.63,56.83,60.36,-,60.027860170456925
