,cos_sim_spearman
STS12,52.66647454698684
STS13,67.38183297206085
STS14,59.395203589152324
STS15,69.53066527435985
STS16,60.714031408034266
SICK-R,58.56400028682103
STS-B,54.27735758836314
JSTS,
AVG,60.36136652368261
