Transformation,STS12,STS13,STS14,STS15,STS16,SICK-R,STS-B,JSTS,AVG
normal/mean,56.46,50.41,51.13,58.6,49.03,57.01,46.17,-,52.687799876238635
uniform_whitening/centering_only,55.54,46.32,49.67,56.03,46.9,56.44,45.17,-,50.86614695960594
uniform_whitening/whitening,53.31,62.45,57.93,68.68,58.69,57.92,52.21,-,58.741964408958495
zipfian_whitening/centering_only,54.52,69.2,60.87,69.82,62.61,58.01,52.25,-,61.04024761933841
zipfian_whitening/whitening,57.76,72.22,67.04,76.8,71.72,61.8,66.92,-,67.7522456158549
abtp/component_removal,52.67,67.38,59.4,69.53,60.71,58.56,54.28,-,60.36136652368261
sif/sif_w_component_removal,60.23,68.78,62.39,67.26,61.85,56.91,58.7,-,62.304334090733
