,cos_sim_spearman
STS12,51.308228642320216
STS13,44.80308211065073
STS14,49.65672021836823
STS15,62.27479483303977
STS16,47.42897185426702
SICK-R,54.86127926198817
STS-B,43.119627198128654
JSTS,
AVG,50.49324344553754
