,cos_sim_spearman
STS12,51.524137869954124
STS13,49.32941041563884
STS14,53.505850064888435
STS15,68.2817993494732
STS16,58.34423459009488
SICK-R,56.94187845903016
STS-B,51.69252358314329
JSTS,
AVG,55.6599763331747
