,cos_sim_spearman
STS12,43.14590374273756
STS13,53.39517459695175
STS14,53.667374512561636
STS15,63.05166860807048
STS16,59.09428801556713
SICK-R,56.56799260820423
STS-B,47.16144576151533
JSTS,
AVG,53.72626397794402
