,cos_sim_spearman
STS12,61.5367395607038
STS13,76.94814471943651
STS14,68.38502789168295
STS15,76.98154686224841
STS16,70.266106414857
SICK-R,59.524821960223804
STS-B,67.08136927061304
JSTS,
AVG,68.67482238282365
