,cos_sim_spearman
STS12,52.465210318154256
STS13,59.01222212634089
STS14,53.89968649210163
STS15,65.32841608501519
STS16,52.60972149608705
SICK-R,58.340715499529864
STS-B,48.60471379691706
JSTS,
AVG,55.751526544878
