Transformation,STS12,STS13,STS14,STS15,STS16,SICK-R,STS-B,JSTS,AVG
normal/mean,57.94,68.97,62.37,72.26,63.59,59.99,59.82,-,63.56436150767619
uniform_whitening/centering_only,59.73,55.02,55.16,64.22,53.39,58.85,52.46,-,56.97687758245811
uniform_whitening/whitening,52.47,59.01,53.9,65.33,52.61,58.34,48.6,-,55.751526544878
zipfian_whitening/centering_only,58.3,71.69,64.57,74.1,67.59,60.75,59.4,-,65.200552221957
zipfian_whitening/whitening,58.86,73.85,68.43,78.07,74.0,62.85,69.55,-,69.37337725144141
abtp/component_removal,58.35,69.09,60.82,71.99,60.76,60.34,57.02,-,62.62284453099808
sif/sif_w_component_removal,61.54,76.95,68.39,76.98,70.27,59.52,67.08,-,68.67482238282365
